CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Litorale Domizio foce del Volturno,IT,Mediterranean Sea,99,,,20171120,Monitoring,,13.929520000000002,41.02162,13.93052,41.02162,45,22,22,22,45,45,30,45,30,30,15,15,15,12,88,12,3,45,45,45,45,88,6,8,2,12,45,45,,45,45,45,6,6,3,3,6,6,88,6,6,88,6,6,6,6,6,6,6,508,6,,7,7,7,12,17,6,6,6,88,12,88,6,,,88,88,485,485,,88,88,88,88,88,12,88,6,17,10,2,,2,10,40,,12,88,6,6,6,1,1,1,4,,,23,3,3,3,,,,,2,,,5,8,8,5,8,5,,5,,,1,1,10,1,1,,1,1,1,1,29,8,8,8,8,1,3,1,,1,,4,15,4,15,6,3,3,,1,1,9,9,1,9,11,1,,,,,,
Surfrider Foundation Europe,"AS-317 Muros de Nal?n, 33138 Muros de Nal?n, Espagne",ES,North-east Atlantic Ocean,81,,,20150321,Cleanup,,-6.105899999688758,43.558000000137724,-6.104899999606025,43.558000000137724,,20,,,18,,,20,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,12,,,5,,,,,,,,,,,30,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,
Surfrider Foundation Europe,"Mr Belkheira Mohammed Cite 20 Aout 1955 Bt /P N°:3 , 42002 Cherchell, Algérie",DZ,Mediterranean Sea,91,,,20160319,Cleanup,,2.2022399999588567,36.62159999981077,2.203240000041589,36.62159999981077,,60,,,1000,2000,,50,,,,,,,,,,200,,,,,5,,,,40,10,4,45,40,15,,,,,,,,,,,,30,,,,5,,,10,,,,,,,,,,2,7,,,,,7,,25,,,,,,,,,,,,15,,,,,20,,,,1,,,,,,,,,,60,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,3,,30,,,,,,,,50,,,
Legambiente Onlus,Lido 48 Spiaggia San Teodoro Pisticci (MT),IT,Mediterranean Sea,100,,,20180425,Monitoring,,0.0001509196626633145,0.00036218275624329055,0.0001509286458343606,0.00036218275624329055,,6,3,,2,7,2,,,3,2,,3,1,1,2,2,16,,1,,1,1,2,,,1,,,11,1,2,,5,,,,,,,,,4,3,,6,2,2,1,1,,,,,,,2,16,3,,1,3,,2,,,9,,3,6,,,,,,,1,,,,,,,,,,,,10,5,,,,,,,,,,,,1,,,2,,,,,,,2,4,,,,12,,1,,,,,,,,,8,2,1,3,,1,2,,,,,,,,,,,,,,,3,,11,,,,2,,,,,5,,
gBqsPxAZ,Famara,ES,North-east Atlantic Ocean,33320,Urban,Other (mixed),20190904,Monitoring,,-13.685718750497609,29.25956731978857,-13.422046875497678,29.067695293705363,,2,2,,,,,,,,,,,,,,,5,,,,,,6,,1,3,3,1,,,,,,,,,,,,,,,4,,2,,6,,,4,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"15 Prom. Maurice Rouvier, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,150,,,20191112,Cleanup,,7.3334347,43.6944484,7.3334347,43.69444840649513,,119,,,,,,,,,4,,,,,,,35,,,,,2,21,,,,4,,,54,27,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,14,3,,,,,,,200,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0
Surfrider Foundation Europe,"963 Calle Bandera, 39170 39170, Espagne",ES,North-east Atlantic Ocean,81,,,20151114,Cleanup,,-3.620010000300413,43.49619999983212,-3.6190100002177146,43.49619999983212,,35,,,20,35,,2,,,,,,,,,,45,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,35,,35,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Legambiente Onlus,Spiaggia delle Saline Centola (SA),IT,Unknown,100,,,20180420,Monitoring,,0.00013729581308341942,0.00035975730498741774,0.00013730479622100066,0.00035975730498741774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,1,,,,2,1,,,,,,40,,,,,,,,60,1,2,,,,,,,,2,,,,,,,,2,,,,,,,2,,,,,,,,1,,,,2,,,,,,,,,1,,,,,,,,,,,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,
Surfrider Foundation Europe,"2 Place de la Mairie, 29860 Kersaint-Plabennec, France",,North-east Atlantic Ocean,2000,,,20190713,Cleanup,,-4.3734009,48.47223259999999,-4.3734009,48.472232605955675,,,,,14,40,,,,,,,,,,,,23,,,,,6,2452,,,531,29,,5,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,350,,172,,,,,,,,,,,,,,,,,101,,,,4,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,60,,,56,,,,,,,,,,,,,,,40,,42,,,,,,,,375,,,0
Swiss Litter Report,Limmat_Zuerich_WagnerC,CH,,35,,,20170530,Cleanup,,8.477770133287603,47.40349559721968,8.478190511602918,47.40364428832933,,1,2,,0,2,,0,,,0,,,,,,,0,0,0,0,1,0,14,1,,3,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,1,0,2,0,,,,0,,1,0,0,,1,0,0,,,0,1,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,1,0,0,0,1,0,1,0,,,,,0,,0,0,0,,2,0,1,0,0,,,0,,,,0,,,0,,0,0,2,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,Limmat_Zuerich_WagnerC,CH,,35,,,20171103,Cleanup,,8.477770133287603,47.40349559721968,8.478190511602918,47.40364428832933,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,2,0,,1,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,2,,,0,0,,,,,0,0,1,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,1,0,,0,,,0,,0,0,0,0,,,,1,,0,0,0,,,1,0,0,0,0,0,6,0,0,,,,,0,,0,5,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,1,0,0,0
Swiss Litter Report,Limmat_Zuerich_WagnerC,CH,,35,,,20180330,Cleanup,,8.477770133287603,47.40349559721968,8.478190511602918,47.40364428832933,,1,2,,1,0,,1,,,0,,,,,,,3,0,0,1,0,0,2,0,,1,0,0,0,0,1,,0,,,,,,,,,0,1,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,2,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,1,0,0,,0,,,0,,0,0,1,0,,,,0,,0,2,0,,,0,0,0,0,0,1,1,0,0,,,,,0,,0,0,0,,0,1,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,Limmat_Zuerich_WagnerC,CH,,35,,,20170630,Cleanup,,8.477770133287603,47.40349559721968,8.478190511602918,47.40364428832933,,0,0,,1,0,,0,,,0,,,,,,,1,0,1,0,2,0,45,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,1,,,0,1,,,,,1,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,2,0,0,,,,,0,,0,0,1,,0,0,0,1,0,,,0,,,,0,,,0,,0,0,1,0,0,,,0,0,,,,1,0,0,0
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170802,Cleanup,,9.198334670803854,47.52407260654682,9.197132864192579,47.524387676417554,,1,0,,0,2,,0,,,0,,,,,,,0,0,0,0,1,1,36,0,,0,0,0,0,0,0,,0,,,,,,,,,0,1,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,2,,1,0,0,,0,,,0,,0,0,0,1,,,,0,,0,2,0,,,0,0,0,0,1,3,9,0,0,,,,,0,,0,0,0,,25,3,0,3,0,,,0,,,,0,,,1,,0,0,3,0,4,,,0,0,,,,3,0,0,0
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20180330,Cleanup,,9.198334670803854,47.52407260654682,9.197132864192579,47.524387676417554,,0,9,,1,1,,0,,,0,,,,,,,1,0,0,0,0,0,12,0,,1,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,1,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,1,,1,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,1,1,0,0,0,9,2,0,0,,,,,0,,0,0,0,,0,0,1,7,1,,,0,,,,0,,,0,,0,0,2,0,4,,,0,0,,,,0,0,0,0
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20171027,Cleanup,,9.198334670803854,47.52407260654682,9.197132864192579,47.524387676417554,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,6,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170702,Cleanup,,9.198334670803854,47.52407260654682,9.197132864192579,47.524387676417554,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,1,0,24,0,,0,0,0,1,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,2,0,0,0,,,,0,,0,0,0,,,1,0,0,0,0,9,0,0,0,,,,,1,,0,0,0,,2,0,3,1,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Parco Naturale S. Bartolo di Pesaro,IT,Mediterranean Sea,99,,,20181023,Monitoring,,12.78907,43.96509999999999,12.79007,43.96509999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,1,1,1,5,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Parco Naturale S. Bartolo di Pesaro,IT,Mediterranean Sea,99,,,20170629,Monitoring,,12.78907,43.96509999999999,12.79007,43.96509999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,1,1,1,5,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Parco Naturale S. Bartolo di Pesaro,IT,Mediterranean Sea,99,,,20171011,Monitoring,,12.78907,43.96509999999999,12.79007,43.96509999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,1,1,1,5,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastic Change,Roskilde Vikingeskibsmuseum,DK,North-east Atlantic Ocean,57,Urban,Other (mixed),20160504,Monitoring,,12.082076421798257,55.65111992604946,12.082812238135695,55.65141340020659,,5,9,,2,,,16,,,,,,,,1,,41,,,1,28,1,73,,,59,1,2,11,,9,,3,1,,,,,,,,1,10,,,,1,,,,,,,,,,,,,5,,,8,,,138,,32,1,,,,4,,,,,,1,3,2,,5,,1,,,,2,3,,,,,1,,1,,,,,,,3,,1,5,,1,,,3,2,1,3,12,5,1,,,1,,,,,,5,,,3,,9,3,,,,,,,,,,,2,,,,1,,17,3,,,5,,,,15,,,
Swiss Litter Report,aare_bern_scheurerk,CH,,92,,,20170709,Cleanup,,7.452585673794063,46.97096721667231,7.45138979157208,46.97080630855592,,0,0,,0,0,,1,,,0,,,,,,,2,0,0,0,0,0,36,0,,0,1,0,0,2,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,3,,,0,0,,,,,4,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,1,,1,0,0,,0,,,0,,0,0,0,0,,,,0,,0,1,0,,,0,0,0,0,0,9,1,0,0,,,,,0,,0,0,0,,0,0,7,10,0,,,0,,,,0,,,0,,0,0,1,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,aare_bern_scheurerk,CH,,92,,,20170521,Cleanup,,7.452585673794063,46.97096721667231,7.45138979157208,46.97080630855592,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,0,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,0,0,0,,,0,0,,,,0,0,0,0
Swiss Litter Report,aare_bern_scheurerk,CH,,92,,,20180315,Cleanup,,7.452585673794063,46.97096721667231,7.45138979157208,46.97080630855592,,0,0,,0,1,,0,,,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,1,2,,,0,0,,1,,,4,0,0,0,,1,,0,,3,0,0,,0,0,0,,,0,0,0,,2,0,0,,0,,,1,,0,0,0,0,,,,0,,0,1,0,,,0,0,0,0,0,1,0,0,0,,,,,0,,0,0,2,,2,0,1,0,0,,,0,,,,0,,,0,,0,0,3,1,0,,,0,2,,,,5,3,0,0
Marnoba,"San Amaro, A Coruña",ES,North-east Atlantic Ocean,100,Urban,Sandy,20180316,Cleanup,,-8.396354,43.382106,-8.395354000000001,43.382106,1,2,,,2,,,9,,,,1,,,,,,8,,,,,,300,,,17,,,,,3,,,,,,,,,,,,10,20,,,,,,13,,,,,,1,2,,,,,,,,,500,,,,,,,,,,,,,,15,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
EMBLAS,Mazesta,RU,Black Sea,106,Rural,Other (mixed),20191015,Cleanup,,39.75807549076815,43.55930624408134,39.75699521291705,43.5598623400008,,2,3,,5,1,,0,,,,,,,,,,7,,,,,,11,,,1,,,,2,0,,,,,,,,0,,,,1,,0,,,,,,,,,,,,,,,,,,0,15,,,,1,,,,,,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Surfrider Foundation Europe,"35 Chemin de la Coconnière, 44730 Saint-Michel-Chef-Chef, France",FR,North-east Atlantic Ocean,75,,,20150628,Cleanup,,-2.161159999795274,47.190900000029835,-2.160159999712575,47.190900000029835,,12,,,,,,1,,,,,,,,,,11,,,,,1,6,,,16,2,,2,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Marnoba,"Cala Pi, Illes Balears",ES,Mediterranean Sea,100,Rural,Rocky,20180928,Cleanup,,2.8366665840000005,39.364444729999995,2.837666584,39.364444729999995,,1,,,,,,2,,,,,,,,,,59,,,,,,790,,,68,,,,,19,,,,,,,,,,,,39,,,,,,,11,,1,,,,2,31,,,,,,31,,,282,2,,,,,,,,,,,,,6,16,,,,7,,,2,10,,,,,,,,,,,,,,,,,,2,,6,,,2,,,,19,45,5,,,,,,21,,,2,,,,,8,54,,,,,,,,,,,,,,,1,1,,,,,,,,,5,3,8,
Surfrider Foundation Europe,"154 Rue de Lausanne, 1202 Genève, Suisse",FR,,77,,,20150529,Cleanup,,6.1517700002036,46.223100000167186,6.152770000286298,46.223100000167186,,,,,1,1,,,,,,,,,,,,,,,,,1,30,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Perseus,"La Caleta, Cadiz",ES,North-east Atlantic Ocean,78,Urban,Sandy,20141103,Cleanup,,-6.306251077842848,36.531914077110805,-6.306013793250439,36.53123875170298,,19,2,,178,0,,6,,,,,,,,,,14,,,,,,0,,,0,,,,,,,,,,0,0,0,0,0,0,,16,0,,0,0,0,0,0,,0,,,,,,,,,,,4,32,,,,10,,,,,,,,,,,,2,,,,,,,,17,,,,0,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,0,,,
gBqsPxAZ,Porto das dunas ,null,Unknown,10542,,,20181110,Cleanup,,-38.40005082253121,-3.825214919495659,-38.34464244475256,-3.9026265378597103,,3,2,,0,0,,0,,,,,,,,,,1,,,,,,2,,,1,,,,0,0,,,,,,,,0,,,,1,,0,,,,,,,1,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
gBqsPxAZ,seapoint beach,IE,North-east Atlantic Ocean,607,Urban,Pebbels,20140406,Cleanup,,-6.159612119259091,53.29779400659795,-6.150731499226135,53.29629289841942,,15,12,,25,5,3,25,10,10,,,,,,,1,35,5,10,9,4,4,6,5,6,31,25,19,24,7,13,,4,7,,,,,,,,6,23,,,,10,,,9,,,,,,13,,,,,,,3,15,,12,,18,,,,,,,,,,,15,20,55,,3,,,,,10,10,,,3,3,,10,,8,9,30,,,,,30,,12,20,7,30,,,,,,,10,,,,,,,,20,,,,,,30,,10,40,,,,,,,,,,,,,17,,,,,,,,,,,,24,35,,
Surfrider Foundation Europe,"17 Rue du 8 Mai 1945, 64110 Maz?res-Lezons, France",Int,,81,,,20150321,Cleanup,,-0.35256899955539134,43.283900000112126,-0.35156900037098937,43.283900000112126,,200,,,10,,,,,,,,,,,,,20,,,,,20,,,,50,20,,50,,,,,,,,,,,,,,10,,,,5,,,5,,,,,,,,,,5,10,,,,,30,,20,,,,,,,,,,,,20,,,,,10,,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,20,,20,,,,,,,,50,,,
Surfrider Foundation Europe,"S?dring 40, 22303 Hamburg, Deutschland",,Unknown,750,,,20190629,Cleanup,,10.0215996,53.59159119999999,10.0215996,53.59159120533183,,,,,,13,,,,,,,,,,,,54,,,,,,600,,,,,1,15,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1000,,,,,,,,,,,,,,,2,,25,,,,,,,,,,,0
Surfrider Foundation Europe,"Les Combes La Couarde-sur-Mer, 17670 La Couarde-sur-Mer, France",FR,North-east Atlantic Ocean,77,,,20150510,Cleanup,,-1.4512099996936179,46.198600000283015,-1.4502099996109188,46.198600000283015,,4,,,5,10,,5,,,,,,,,,,15,,,,,,40,,,,20,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
UK Marine Conservation Society,Langland Bay,UK,North-east Atlantic Ocean,68,,,20160917,Monitoring,,-4.013185666018111,51.56783504006317,-4.012185665935411,51.56783504006317,,5,3,,8,,,3,,,,,,,,,,61,,,,,2,,,2,34,,4,3,21,,,,,,,,,4,,,6,33,,6,5,2,,,14,,,,,,2,13,,,1,1,,2,,,,,81,96,,,,,,,,,,,15,3,,,1,,,,5,7,,,2,,,,,,,7,,,,,,,2,,8,1,,,,3,1,,,4,,,,1,,,2,,,500,54,2,6,,4,2,1,,,,,8,,,,,3,,,,1,1,9,,,,,,,,,,,
Surfrider Foundation Europe,"2 Avenue de l'Oc?an, 40200 Mimizan, France",FR,North-east Atlantic Ocean,350,,,20190323,Cleanup,,-1.29767,44.21071679999999,-1.29767,44.210716806438946,,100,,,25,10,,10,,,20,,,,,,,200,,,,,10,200,,,,100,,25,,80,,,,,,,,,10,,,20,,,,20,,,20,,,,,,,,,,,5,,,,,50,,5,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,20,,,,,,,,,,,,,,,,,3,,,,,,,,10,,,0
Surfrider Foundation Europe,"Unnamed Road, Tarragona, Espa?a",ES,Mediterranean Sea,750,,,20190706,Cleanup,,1.2444909,41.1188827,1.2444909,41.11888270676743,,65,,,1,1,,,,,2,,,,,,,16,,,,,3,16,,,16,5,8,1,1,5,,,,,,,,,,,,36,,,,24,,,1,,,,,,,,,,16,2,,,,,25,,28,,,,,,,,,,,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,0
Surfrider Foundation Europe,"96 Plage Sud, 40560 Vielle-Saint-Girons, France",FR,North-east Atlantic Ocean,80,,,20150201,Cleanup,,-1.3640399998054658,43.95239999986043,-1.3630399997227334,43.95239999986043,,180,,,50,30,,10,,,,,,,,,,100,,,,,50,50,,,10,10,10,80,,30,,,,,,,,,,,,190,,,,190,,,30,,,,,,,,,,10,20,,,,,50,,50,,,,,,,,,,,,40,,,,,40,,,,40,,,,,10,,,,,10,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,20,,20,,,,,,,,60,,,
HCMR@School,????????????? ????????,GR,Mediterranean Sea,78,,,20150502,Cleanup,,25.281948517231797,35.33419838347415,25.282672783929616,35.33385486450783,,8,0,1,1,0,,5,,,,,,,,,,0,,3,4,2,1,24,1,,3,4,,,4,9,,,,,,,,0,,,0,21,,4,,,,,,,,,,,,,,,,,,0,0,,49,,8,,,,,,,,,,,,0,,,,,,,1,18,,,,,,,,,,3,,,,,,,,,1,,1,1,,,1,,,2,,,,,,,,,,,1,,,,,,22,,,,,,,,,,,,,,,1,,,,,,1,,,,10,1,,
Swiss Litter Report,urnaesch_urnaesch_meierr,CH,,35,Rural,Other (mixed),20180112,Cleanup,,9.29541884557851,47.32509859533172,9.295691382757614,47.324842089335554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,7,,,
Swiss Litter Report,urnaesch_urnaesch_meierr,CH,,35,Rural,Other (mixed),20170412,Cleanup,,9.29541884557851,47.32509859533172,9.295691382757614,47.324842089335554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,17,,,,,,9,,,,2,,,
Swiss Litter Report,urnaesch_urnaesch_meierr,CH,,35,Rural,Other (mixed),20180314,Cleanup,,9.29541884557851,47.32509859533172,9.295691382757614,47.324842089335554,,0,0,,0,0,,0,,,0,,,,,,,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,,0,,,,,,,,,0,0,0,,,,,,0,,,,,0,0,0,,,0,0,,,,,4,0,0,0,,,,0,,0,0,0,,0,0,0,,,0,0,0,,0,0,0,,0,,,0,,0,0,0,0,,,,0,,0,0,0,,,0,1,0,0,0,0,0,0,0,,,,,0,,0,0,0,,0,0,0,0,0,,,0,,,,0,,,0,,0,0,1,0,0,,,0,12,,,,10,0,0,0
Marnoba,"Samil, Pontevedra",ES,North-east Atlantic Ocean,100,Urban,Sandy,20180705,Cleanup,,-8.775277138,42.207778929999996,-8.774277138,42.207778929999996,,,,,,,,,,,,1,,,,,,1,,,,,,45,,,2,,,,,1,,,,,,,,,,,,1,1,,,,,,,,1,,,,3,1,,,,,,1,,,1,,,,,,,,,,,,,,9,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,1,,,,1,4,1,
Anemone,Navodari (Anemone),RO,Black Sea,100,Urban,Sandy,20190411,Monitoring,RO000007,28.630480000296405,44.310210000190864,28.63005000012611,44.30936000021033,,,292,,,5,,5,,1,,,,,,,,71,5,10,8,18,5,114,2,2,259,10,,42,6,54,8,,,,,,,,,,10,73,,1,1,9,,,,,,,,,45,20,3,,,,,89,3,,99,,119,2,,,,2,,,,,,,12,,,1,,1,,,15,4,,,,,,1,,,9,9,,,,,62,,,22,,30,1,,5,6,,,,30,1,,58,,,,,,,8,,,10,3,1,10,,,,,,,,,,,46,,,,67,3,1,,,,31,,,,189,1,1,1
