CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Surfrider Foundation Europe,"12 Promenade Pierre D?port, 14150 Ouistreham, France",FR,North-east Atlantic Ocean,72,,,20150403,Cleanup,,-0.2455129996125746,49.2794000002276,-0.24451300042817262,49.2794000002276,,10,,,,10,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10,,,,,,,,,,1,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,10,,,,,,,,50,,,
Surfrider Foundation Europe,"Avenue Lieutenant colonel faro, 19000 Tulle, France",Int,,78,,,20150321,Cleanup,,1.7716999996546539,45.265700000177944,1.772699999737353,45.265700000177944,,30,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,3,,,,,,,,,5,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,20,,,,,,,,,,,
Black Sea NGO Network || MELTEMI,Bolata,BG,Black Sea,166,Rural,Other (mixed),20150920,Cleanup,,28.470449359003922,43.38152626010175,28.47198963644123,43.3825092712989,,1,2,,3,,,2,,,,,,,,,,7,,,,,,87,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,sorne_birse_WWFJura,CH,,16,Urban,Pebbels,20170627,Cleanup,,7.360909916680233,47.37098680531084,7.360815605253496,47.37111893250304,,1,,,,,,,,,,,,,,,,,,1,,,,38,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,3,,,,,,,,,13,,,
Swiss Litter Report,sorne_birse_WWFJura,CH,,16,Urban,Pebbels,20170509,Cleanup,,7.360909916680233,47.37098680531084,7.360815605253496,47.37111893250304,,1,2,,1,,,,,,,,,,,,,3,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
Swiss Litter Report,sorne_birse_WWFJura,CH,,16,Urban,Pebbels,20170409,Cleanup,,7.360909916680233,47.37098680531084,7.360815605253496,47.37111893250304,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,1,,1,,,,,,,,,,21,,,
gBqsPxAZ,obzor detski lager,BG,Black Sea,2805,Near river mouth,Sandy,20151011,Cleanup,,27.8889785578106,42.807348962966564,27.89656751455105,42.78272613171365,,19,7,,13,20,3,2,1,3,,1,2,,,1,,53,4,33,,3,9,20,1,,15,,8,23,1,10,,,,,,,,,,,4,1,1,,,2,,,,,,,,,,,,,,3,,1,23,2,17,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,2,,1,1,,,,,5,,,,,1,1,1,4,,4,1,5,2,,,,,,,,,,,,2,12,,,2,,,,,,1,,,,,,,,,,,1,1,1,,2,3,,,,,,
EMBLAS,Maltakva,GE,Black Sea,52,Urban,Sandy,20191026,Cleanup,,41.68142943284436,42.10989551105929,41.681686851377215,42.10946758663173,,11,,,46,24,12,21,,4,,3,,1,5,,3,48,6,10,,,13,,2,4,21,9,10,14,,9,,,,,,,,,,,,6,,,,,,,,,,,,3,,,,,2,,,4,51,34,,,,,,,,,,17,,,,,,,,,2,12,,8,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,
EMBLAS,Maltakva,GE,Black Sea,52,Urban,Sandy,20190831,Cleanup,,41.68142943284436,42.10989551105929,41.681686851377215,42.10946758663173,,20,,,35,26,20,7,,6,,1,,10,4,,4,26,25,,,2,7,30,,,10,12,3,11,,7,,,,,,,,,,,,14,,,,2,,,,,,,,,,5,,,1,6,,16,,1,72,,40,,,,,,,41,,,,,,3,,2,3,10,,,,,1,,,,,4,,,,,,,,,,,,2,,1,,,2,,,,5,,,,,,,,,,,1,1,,9,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,2,,,
EMBLAS,Maltakva,GE,Black Sea,52,Urban,Sandy,20200811,Cleanup,,41.68142943284436,42.10989551105929,41.681686851377215,42.10946758663173,,48,,,46,41,17,8,,,,,,5,1,,1,89,,15,8,,5,,,,21,6,10,5,,,,1,,,,,,,,,,12,,,,,,,,,,,,,,16,,1,4,7,,6,95,1,135,6,,,,,,,1,44,,,,,5,10,,,8,22,,3,,1,,,,,,,,,1,,,,,,,,,3,,7,,,,,,,,,,,,,,,,,,5,,2,3,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,
